review,rating,Sentiment
Size was totally wrong,2,Negative
Size was totally wrong,1,Negative
"Amazing quality and fabric, loved it!",5,Positive
"Material feels cheap, uncomfortable",1,Negative
"Best purchase ever, very satisfied",5,Positive
"Worst product ever, waste of money",1,Negative
Size was totally wrong,2,Negative
Excellent fit and very comfortable,5,Positive
"Terrible experience, do not buy",1,Negative
"Value for money, not premium",3,Neutral
Premium look and feel,4,Positive
"Worst fitting ever, very loose",1,Negative
"Amazing quality and fabric, loved it!",4,Positive
"Amazing quality and fabric, loved it!",4,Positive
Decent quality but could be better,3,Neutral
Decent quality but could be better,3,Neutral
"Not bad, but not great",3,Neutral
"Perfect for daily wear, excellent",5,Positive
"Not bad, but not great",3,Neutral
"Value for money, not premium",3,Neutral
Size was totally wrong,2,Negative
"Terrible experience, do not buy",1,Negative
"Perfect for daily wear, excellent",5,Positive
Completely disappointed,2,Negative
"Terrible experience, do not buy",2,Negative
Loved the design and material,5,Positive
"Amazing quality and fabric, loved it!",5,Positive
"Average design, basic quality",3,Neutral
"Worst fitting ever, very loose",1,Negative
"Not bad, but not great",3,Neutral
Great color and perfect fit,5,Positive
Size was totally wrong,2,Negative
"Awesome t-shirt, great fabric",5,Positive
"Looks fine, fits okay",3,Neutral
Size was totally wrong,2,Negative
Mediocre experience,3,Neutral
Premium look and feel,5,Positive
"Worst product ever, waste of money",2,Negative
Decent quality but could be better,3,Neutral
"Perfect for daily wear, excellent",5,Positive
"Amazing quality and fabric, loved it!",4,Positive
"Best purchase ever, very satisfied",4,Positive
Do not waste your money,2,Negative
"Fantastic product, worth the price",5,Positive
"Average product, not very impressive",3,Neutral
"Not bad, but not great",3,Neutral
Loved the design and material,5,Positive
Okay product for casual wear,3,Neutral
Size was totally wrong,2,Negative
Excellent fit and very comfortable,5,Positive
Do not waste your money,2,Negative
"Perfect for daily wear, excellent",5,Positive
Premium look and feel,5,Positive
Completely disappointed,2,Negative
"Best purchase ever, very satisfied",4,Positive
"Value for money, not premium",3,Neutral
Premium look and feel,4,Positive
"Terrible experience, do not buy",2,Negative
Color faded after first wash,2,Negative
Color faded after first wash,2,Negative
"Looks fine, fits okay",3,Neutral
Stylish and comfortable,5,Positive
Loved the design and material,4,Positive
"Average product, not very impressive",3,Neutral
"Value for money, not premium",3,Neutral
"Perfect for daily wear, excellent",5,Positive
"Awesome t-shirt, great fabric",4,Positive
"Product is alright, slight color difference",3,Neutral
Premium look and feel,5,Positive
"Best purchase ever, very satisfied",5,Positive
Excellent fit and very comfortable,5,Positive
"Product is alright, slight color difference",3,Neutral
Premium look and feel,5,Positive
"Worst product ever, waste of money",1,Negative
"Average design, basic quality",3,Neutral
Decent quality but could be better,3,Neutral
Do not waste your money,1,Negative
Completely disappointed,2,Negative
"Not bad, but not great",3,Neutral
"Worst product ever, waste of money",2,Negative
Mediocre experience,3,Neutral
"Very bad fabric quality, looks cheap",2,Negative
"Okay for the price, nothing special",3,Neutral
"Material feels cheap, uncomfortable",2,Negative
"Average product, not very impressive",3,Neutral
Color faded after first wash,1,Negative
Do not waste your money,1,Negative
"Terrible experience, do not buy",1,Negative
"Looks fine, fits okay",3,Neutral
"Terrible experience, do not buy",2,Negative
"Worst product ever, waste of money",2,Negative
"Amazing quality and fabric, loved it!",5,Positive
"Average product, not very impressive",3,Neutral
Do not waste your money,1,Negative
Do not waste your money,2,Negative
"Average design, basic quality",3,Neutral
